object_type,object_id,object_system,object_code
stop_point,StopPoint:OM1571,osm_stop_points_id,node:5351177633
stop_point,StopPoint:OM1572,osm_stop_points_id,node:5351177498
stop_point,StopPoint:OM1573,osm_stop_points_id,node:5071205092
stop_point,StopPoint:OM1575,osm_stop_points_id,node:2162477217
stop_point,StopPoint:OM1576,osm_stop_points_id,node:5071206700
stop_point,StopPoint:OM12814,osm_stop_points_id,node:2162477202
stop_point,StopPoint:OM1577,osm_stop_points_id,node:2162477252
stop_point,StopPoint:OM1578,osm_stop_points_id,node:2162477226
stop_point,StopPoint:OM1579,osm_stop_points_id,node:2162486447
stop_point,StopPoint:OM1580,osm_stop_points_id,node:2162486442
stop_point,StopPoint:OM1581,osm_stop_points_id,node:2162486451
stop_point,StopPoint:OM1588,osm_stop_points_id,node:2162477240
stop_point,StopPoint:OM1589,osm_stop_points_id,node:2162477248
stop_point,StopPoint:OM1590,osm_stop_points_id,node:2162477211
stop_point,StopPoint:OM1591,osm_stop_points_id,node:2162477225
stop_point,StopPoint:OM1593,osm_stop_points_id,node:2162477276
stop_point,StopPoint:OM1594,osm_stop_points_id,node:5351168026
stop_point,StopPoint:OM1595,osm_stop_points_id,node:5351177499
stop_point,StopPoint:OM1596,osm_stop_points_id,node:2074542547
stop_point,StopPoint:OM12188,osm_stop_points_id,node:5161406121
stop_point,StopPoint:OM12146,osm_stop_points_id,node:5071207240
stop_point,StopPoint:OM12147,osm_stop_points_id,node:5071206275
stop_point,StopPoint:OM12148,osm_stop_points_id,node:5071206943
stop_point,StopPoint:OM12149,osm_stop_points_id,node:1977547199
stop_point,StopPoint:OM12153,osm_stop_points_id,node:2422759634
stop_point,StopPoint:OM12157,osm_stop_points_id,node:5208792449
stop_point,StopPoint:OM12159,osm_stop_points_id,node:5208782581
stop_point,StopPoint:OM12162,osm_stop_points_id,node:4252906742
stop_point,StopPoint:OM12163,osm_stop_points_id,node:4252906736
stop_point,StopPoint:OM12164,osm_stop_points_id,node:4278534598
stop_point,StopPoint:OM12165,osm_stop_points_id,node:4252906733
stop_point,StopPoint:OM12166,osm_stop_points_id,node:4278534602
stop_point,StopPoint:OM12463,osm_stop_points_id,node:4278225004
stop_point,StopPoint:OM12167,osm_stop_points_id,node:4278534604
stop_point,StopPoint:OM12169,osm_stop_points_id,node:4278225000
stop_point,StopPoint:OM12419,osm_stop_points_id,node:4276307386
stop_point,StopPoint:OM12420,osm_stop_points_id,node:4250273628
stop_point,StopPoint:OM12422,osm_stop_points_id,node:4276307385
stop_point,StopPoint:OM12190,osm_stop_points_id,node:4278225003
stop_point,StopPoint:OM12191,osm_stop_points_id,node:4278225009
stop_point,StopPoint:OM12193,osm_stop_points_id,node:4278225005
stop_point,StopPoint:OM12192,osm_stop_points_id,node:4282105163
stop_point,StopPoint:OM12194,osm_stop_points_id,node:4252906735
stop_point,StopPoint:OM12195,osm_stop_points_id,node:4278534601
stop_point,StopPoint:OM12196,osm_stop_points_id,node:4252906739
stop_point,StopPoint:OM12197,osm_stop_points_id,node:4252906744
stop_point,StopPoint:OM12198,osm_stop_points_id,node:2422759633
stop_point,StopPoint:OM12202,osm_stop_points_id,node:4250463061
stop_point,StopPoint:OM12203,osm_stop_points_id,node:5071205090
stop_point,StopPoint:OM12204,osm_stop_points_id,node:5071207092
stop_point,StopPoint:OM12205,osm_stop_points_id,node:5071207241
stop_point,StopPoint:OM12173,osm_stop_points_id,node:5066263846
stop_point,StopPoint:OM12174,osm_stop_points_id,node:5066264188
stop_point,StopPoint:OM12175,osm_stop_points_id,node:5066269822
stop_point,StopPoint:OM12177,osm_stop_points_id,node:5066264195
stop_point,StopPoint:OM12178,osm_stop_points_id,node:4321224114
stop_point,StopPoint:OM12179,osm_stop_points_id,node:4301766218
stop_point,StopPoint:OM12180,osm_stop_points_id,node:5169398117
stop_point,StopPoint:OM12181,osm_stop_points_id,node:870916536
stop_point,StopPoint:OM12182,osm_stop_points_id,node:4301766216
stop_point,StopPoint:OM12892,osm_stop_points_id,node:4301766220
stop_point,StopPoint:OM12183,osm_stop_points_id,node:5169398393
stop_point,StopPoint:OM12184,osm_stop_points_id,node:4321226137
stop_point,StopPoint:OM12185,osm_stop_points_id,node:4314281928
line,OM110OM179,osm_company,RTM
line,OM110OM179,osm_line_id,relation:5715806
line,OM110OM179,osm_network,RTM
line,OM1142OM179,osm_company,Régie des Transports Métropolitains
line,OM1142OM179,osm_line_id,relation:7645524
line,OM1142OM179,osm_network,RTM
line,OM1143OM179,osm_company,Régie des Transports Métropolitains
line,OM1143OM179,osm_line_id,relation:7715898
line,OM1143OM179,osm_network,RTM
line,OM1145OM179,osm_company,Régie des Transports Métopolitains
line,OM1145OM179,osm_line_id,relation:7742139
line,OM1145OM179,osm_network,RTM
line,OM122OM179,osm_company,RTM
line,OM122OM179,osm_line_id,relation:2222453
line,OM122OM179,osm_network,RTM
route,OM1142OM179_R,osm_route_id,relation:7645523
route,OM1142OM179,osm_route_id,relation:7643421
route,OM1143OM179_R,osm_route_id,relation:7715896
route,OM1143OM179,osm_route_id,relation:7715897
route,OM1145OM179,osm_route_id,relation:7621962
